name;pop_nb_2012;pop_nb_2022;hab/km2;pop_tx_aug_2012_2022;pop_tx_agegroup18_64_2012;pop_tx_agegroup_18_64_2022;pop_soldmig_intern;pop_soldmig_internat;pop_croissance_an;pop_tx_immig_2022;pop_tx_immig_fromEU;pop_tx_immig_fromEU14;pop_tx_immig_fromEU13;pop_tx_immig_resteEu+nonEU;pop_tx_nationalite_etrg_alanaissance;pop_tx_natalite;fin_med_rev;fin_nbagetravail;fin_tx_emploi;fin_tx_emploi_15_24;fin_tx_emploi_25_49;fin_tx_emploi_50_64;fin_tx_sal;fin_tx_indep;fin_tx_ouvr;fin_tx_employee;fin_nb_internat_instit_jobs;fin_tx_fonct;fin_tx_chomg;fin_tx_chom_longduree;fin_15_24yo_tx_chom;fin_tx_chom_25_49;fin_tx_chom_50_64;tx_CPAS_18_24_2011;tx_CPAS_18_24_2021;GRAPE_65+_2011;GRAPA_65+_2022;fin_tx_births_noworkrevenue;fin_tx_naissances_mere_etrang;ensign_retard_scol;fin_soc_siege;fin_nb_etabls;fin_soldmig_firms_total_2009_2020;fin_soldmig_2009_2020_horeca;fin_soldmig_2009_2020_commrcdetail;fin_soldmig_2009_2020_IT;fin_soldmig_RBC_2009_2022;fin_soldmig_ firms_Wal_Flan_2009_2022;eco_tx_veget;eco_tx_espacevert_accesspublic;immo_nb_logsoc;immo_nb_bat_resid;immo_avg_rent;immo_nb_appart_sales_2011;immo_nb_appart_sales_2021;immo_nb_houses_sales_2011;immo_nb_houses_sales_2021;immo_median_saleprice_appart_2011;immo_median_saleprice_appart_2021;immo_median_saleprice_house_2011;immo_median_saleprice_house_2021;immo_tx_23fac_houses;immo_tx_4f_houses;immo_tx_immeub_appart;caract_economiq;gentrification
Anderlecht;111279;122547;6841;10;61;61;-12;11;0,5;33;57;30;27;43;61;16;14498;78126;53;22;64;53;78;22;25;61;32;14;19;12;24;18;20;10;17;9;15;15;50;20;8632;2856;20;12;10;2;107;-87;46;41;5139;15447;647;602;770;196;227;153000;184000;274000;320000;81;2;16;services lourds aux entreprises, services administratifs et de soutien, services marchands aux personnes, commerce, loisirs, enseignement;
Auderghem;31963;34986;3902;9;63;62;-7;11;0,8;31;67;49;18;33;44;11;20527;22410;62;16;75;67;83;17;29;62;2164;9;9;6;19;8;8;6;7;4;6;8;43;12;3056;956;-12;-9;-6;5;-18;-45;71;42;893;7322;760;184;273;105;157;225000;285000;417000;552500;81;6;13;services administratifs et de soutien, santé;
Berchem-Sainte-Agathe;22931;25298;8575;10;60;59;-13;4;-0,6;20;59;34;26;41;47;14;16805;16036;58;20;70;61;83;17;20;71;0;10;15;10;22;15;15;5;9;6;10;20;38;19;1975;573;37;3;-4;1;;;50;13;796;4369;726;137;184;73;93;175000;200000;326000;359000;76;2;22;services administratifs et de soutien, santé, commerce de détail;
Etterbeek;45502;48535;15290;7;71;72;-23;22;0,4;50;77;54;19;23;66;14;17146;35704;61;20;70;62;87;14;25;59;4584;16;12;7;19;11;15;8;12;11;14;15;64;18;5808;1623;3;-7;3;-4;31;-28;28;4;1405;6786;769;383;463;66;81;204000;276500;476000;646000;69;0;31;services marchands aux entreprises  (services administratids et de soutien, activités financieres, d'assurance, immobilieres);
Evere;37009;43608;8509;18;60;61;0;12;1,3;30;50;28;22;50;55;14;20912;26942;54;19;64;56;91;10;24;50;1204;26;16;10;25;15;17;11;19;7;12;17;55;19;2696;835;24;-6;10;11;52;-28;49;18;2216;5018;752;284;430;69;87;181000;216000;327000;360000;77;0;23;administration publique, services administratifs de soutien, nettoyage;1
Forest;53312;56616;8998;6;64;65;-9;9;0,6;35;68;53;15;32;50;15;20069;37788;57;19;67;58;76;24;42;45;30;14;18;11;26;17;19;8;16;9;11;19;52;19;4980;1176;-78;2;-16;-9;;;34;9;;7351;751;503;537;76;82;195000;260000;362000;470000;67;1;32;industrie (automobile), construction, services administratids et soutien;
Ganshoren;23383;25252;10359;10;59;60;-10;11;0,3;24;64;28;36;36;50;15;16482;15692;59;24;71;59;66;34;34;44;0;22;15;10;20;14;16;3;6;7;11;21;44;18;1683;402;-12;3;-8;-3;;;55;16;1332;3271;714;235;264;39;50;163500;195500;315000;365500;67;1;33;enseignement, santé, administration, nettoyage;
Ixelles;83425;87052;13578;4;74;74;-27;17;-0,5;49;72;62;10;28;65;13;16937;66068;57;19;65;60;84;16;24;65;5858;11;14;9;19;13;16;6;12;10;13;14;62;19;13578;3835;-51;-2;-11;10;-16;-35;32;5;1583;11667;780;706;890;132;135;251000;330000;587000;843000;67;0;32;horeca, commerce de détail, IT, enseignement;1
Jette;48805;52751;10165;8;61;61;-15;10;-0,2;25;59;28;31;41;51;15;16611;33816;59;21;71;59;77;23;26;64;0;10;16;10;23;14;17;9;12;7;11;23;45;18;3439;879;-37;-8;-3;-2;-10;-27;52;19;1406;6654;743;487;458;93;101;169000;195000;327000;350000;76;2;23;santé, services admin, nettoyage ;1
Woluwe-Saint-Pierre;40037;42216;4720;5;60;60;-4;10;0,5;38;78;60;18;22;49;9;21221;26380;61;12;72;69;81;20;23;59;258;18;8;5;19;8;8;2;5;4;4;6;53;9;3975;1104;-47;-1;-8;-2;-8;-39;67;16;904;9249;938;284;284;147;162;286000;337500;537000;653000;71;15;13;nettoyage, intérims, enseignement, commerce de détail;
Woluwe-Saint-Lambert;51871;58541;8026;13;64;63;-6;12;0,9;38;70;51;19;30;53;11;19674;37845;61;15;73;65;86;14;14;78;403;9;10;6;21;9;12;6;9;5;7;7;55;14;4756;1489;-59;-2;-11;-11;-15;-44;52;9;2649;8709;778;437;552;132;133;256000;300000;496000;645000;78;2;20;santé, enseignement, construction, activités financières;
Ville de Bruxelles;166497;188737;5704;13;66;67;-23;24;1,0;38;59;41;18;41;64;16;14387;126137;52;20;62;53;95;6;17;64;30666;19;18;12;24;17;21;11;17;14;19;25;56;21;19919;10848;125;28;-13;35;193;-68;40;12;8267;20556;733;1160;1400;244;257;204000;250000;315000;370000;70;2;28;administration publique, activités financières, d'assurance, immobilières;
Schaerbeek;127747;130690;16540;2;65;65;-30;14;-0,6;37;60;31;29;40;63;16;14558;90976;53;20;64;57;82;18;15;57;44;28;19;12;27;17;21;11;21;12;16;24;53;23;9035;2797;-300;-13;-22;-39;;;33;6;2555;58370;685;709;901;192;178;187000;240000;371000;420000;78;0;22;administration publique, IT;
Saint-Josse-Ten-Noode;27134;26965;23234;1;67;69;-44;33;-0,6;44;36;16;20;64;75;15;12715;19736;48;24;56;44;91;9;12;71;3046;17;23;15;24;22;28;10;9;24;26;33;64;29;1989;776;-48;5;-14;-9;-41;-7;20;7;792;2747;638;140;167;37;33;158000;200000;350000;380000;79;0;20;activités financières et immobilières, administration publique, services administratifs;
Saint-Gilles;49492;48837;7528;1;71;73;-36;22;-0,7;49;71;59;12;29;68;13;15143;37250;55;22;63;53;89;11;14;51;203;35;19;12;23;17;23;10;16;18;21;23;61;23;5073;1636;-63;-18;-9;-14;-45;-18;19;1;1119;5873;729;303;417;38;31;196000;281000;374000;480000;71;0;30;administration publique, services lourds aux entreprises;1
Molenbeek-Saint-Jean;93893;97697;7528;4;60;60;-20;8;-0,4;28;48;28;20;52;63;17;13348;62098;47;19;57;47;83;17;23;61;0;16;24;15;29;22;25;16;29;13;19;31;48;22;5203;1650;-143;0;-16;-3;-86;-57;36;8;3145;8353;673;590;7668;76;89;175000;195000;283000;300000;67;1;32;administration publique;1
Koekelberg;20661;22023;18633;7;62;62;-20;20;0,7;32;61;26;35;39;61;18;14893;14305;56;22;67;57;62;38;37;48;0;15;17;11;21;16;19;8;15;10;14;22;49;20;1538;327;-41;-8;-7;-1;;;;;514;2548;685;221;222;23;19;169000;195000;315000;339000;64;0;37;enseignement ;
Uccle;79610;85099;7528;7;61;61;2;2;0,4;33;79;66;13;21;48;10;19468;53540;59;15;72;65;71;29;28;59;570;13;12;7;20;11;12;4;7;5;7;11;49;13;10763;2714;-86;6;-17;-21;9;-95;75;29;1721;16654;862;775;889;274;293;245000;320000;473000;600000;68;13;19;santé, enseignement;
Watermael-Boitsfort;24303;25187;1942;4;61;59;0;2;-0,1;21;74;60;14;26;35;8;19955;15842;59;13;73;66;78;23;18;74;84;8;12;7;23;11;11;2;4;5;7;10;35;13;2895;655;1;1;-6;-9;9;-9;86;58;2056;6935;866;136;142;103;109;245000;275000;496000;550000;83;7;10;services marchands aux entreprises (IT, scientifiques et techniques, activités financières, assurances, immobilieres, administratif de soutien);
